antique helmet	Spooky: +30, Init: -10.0
1-ball	Init: +5.0
7-ball	Meat: +5.0
antique shield	Init: -10.0, DR: 15
barskin buckler	DR: 1
bobble-hip hula elf doll	Meat: +15.0
box	Meat: +1.0
box-in-the-box	Meat: +2.0
box-in-the-box-in-the-box	Meat: +3.0
box turtle	DR: 3
cardboard box turtle	DR: 4
chopsticks	Init: +20.0
Cloaca-cola shield	DR: 4
clownskin buckler	DR: 3
coffin lid	DR: 3, Spooky: +10
deck of tropical cards	Exp: +1.0
demon buckler	DR: 5
Dyspepsi-cola shield	DR: 4
gnauga hide buckler	DR: 5
hippo skin buckler	DR: 5
hors d'oeuvre tray	DR: 7, Init: +20.0
hypnodisk	Item: +25.0
ice baby	Exp: +1.0
penguin skin buckler	DR: 5
pilgrim shield	Exp: +3.0
pixel shield	DR: 3
ricebowl	Item: +20.0
sebaceous shield	DR: 2
sewer turtle	DR: 1
snake shield	DR: 7
snarling wolf shield	DR: 7
star buckler	DR: 10
Tiki lighter	Exp: +1.0
tropical paperweight	Exp: +1.0
White satin shield	DR: 5
yakskin buckler	DR: 5

bronze breastplate	DA: +20, DR: 4
clockwork trenchcoat	DA: +15
eXtreme Bi-Polar Fleece Vest	Cold: +20
flaming pink shirt	Item: +15.0
gnauga hide vest	DR: 6, Cold: +10, Hot: +10, Sleaze: +10, Spooky: +10, Stench: +10
hipposkin poncho	ML: +10
goth kid t-shirt	ML: +5
Grateful Undead T-shirt	Item: +5.0
safety vest	DR: 3
Ye Olde Navy Fleece	Meat: +10.0

antique greaves	Init: -10.0
bounty-hunting pants	Item: +15.0
clockwork pants	Init: +10.0
Crimbo pants	Init: +30.0
demonskin trousers	Hot: +20
dungeoneer's dungarees	Cold: +10, Hot: +10, Spooky: +10, Stench: +10, Sleaze: +10
gnauga hide chaps	DA: +30
gnauga hide kilt	DA: +30
gnauga hide skirt	DA: +30
Grimacite greaves	Init: +20.0
leotarrrd	Init: +15.0
los chinos	DA: +20
makeshift skirt	Init: +15.0
miner's pants	DA: +20
pants of the Slug Lord	Stench: +10
penguin kilt	Init: +20.0
penguin shorts	Init: +20.0
penguin skirt	Init: +20.0
plexiglass pants	Init: +25.0, Item: +20.0
snowboarder pants	DA: +20
stainless steel slacks	Init: +15.0, Meat: +20.0
star pants	Init: +20.0
tighty whiteys	Spooky: +10
Travoltan trousers	Init: +30.0
Tropical Crimbo Shorts	Init: +30.0
white satin pants	Sleaze: +10

baconstone bracelet	Mana: -1
baconstone earring	Mana: -1
Baron Von Ratsworth's money clip	Meat: +15.0
Baron Von Ratsworth's monocle	Item: +10.0
Bonerdagon necklace	Init: +30.0
disbelief suspenders	Sleaze: +10
evil flaming eyeball pendant	Init: +15.0, Meat: +15.0
glowing red eye	Spooky: +20
gnatwing earring	Init: +10.0
Grimacite galoshes	Meat: +25.0
Grimacite garget	Item: +25.0
hockey stick of furious angry rage	ML: +30
ice skates	Init: +15.0, Meat: +15.0
incredibly dense meat gem	Meat: +25.0
infernal insoles	Hot: +10, Init: +10.0
lucky rabbit's foot	Item: +7.0, Meat: +7.0
makeshift cape	Item: +5.0
makeshift SCUBA gear	Stench: +20
monster bait	Combat: +5.0
Mr. Accessory Jr.	Item: +25.0
peace-sign necklace	DR: 3
Pine-Fresh air freshener	Stench: +10
plexiglass pinky ring	Cold: +30, Hot: +30, Sleaze: +30, Spooky: +30, Stench: +30
plexiglass pocketwatch	Mana: -3
porquoise necklace	Meat: +10.0
ring of aggravate monster	ML: +5
ring of cold resistance	Cold: +20
ring of conflict	Combat: -5.0
ring of fire resistance	Hot: +20
sk8board	Init: +15.0
stainless steel scarf	ML: +20
stainless steel solitaire	Mana: -2
stainless steel suspenders	DA: +60
tap shoes	Init: -20.0
the Amulet of Yendor	Init: -10.0, Mana: +3
tiny plastic ancient yuletide troll	Weight: +1
tiny plastic angry goat	Weight: +1
tiny plastic baby gravy fairy	Weight: +1
tiny plastic barrrnacle	Weight: +1
tiny plastic blood-faced volleyball	Weight: +1
tiny plastic Cheshire bat	Weight: +1
tiny plastic cocoabo	Weight: +1
tiny plastic coffee pixie	Weight: +1
tiny plastic Crimbo elf	Weight: +1
tiny plastic fuzzy dice	Weight: +1
tiny plastic ghost pickle on a stick	Weight: +1
tiny plastic ghuol whelp	Weight: +1
tiny plastic gift-wrapping vampire	Weight: +1
tiny plastic grue	Weight: +1
tiny plastic hermit	Meat: +6.0
tiny plastic howling balloon monkey	Weight: +1
tiny plastic killer bee	Weight: +1
tiny plastic leprechaun	Weight: +1
tiny plastic levitating potato	Weight: +1
tiny plastic mosquito	Weight: +1
tiny plastic sabre-toothed lime	Weight: +1
tiny plastic spooky pirate skeleton	Weight: +1
tiny plastic stab bat	Weight: +1
tiny plastic star starfish	Weight: +1
tiny plastic sweet nutcracker	Weight: +1
toy crazy train	Meat: +10.0
toy train	Meat: +10.0
white collar	Meat: +3.0

annoying pitchfork	ML: +5
flaming familiar doppelg&auml;nger	ML: +5
lucky Tam O'Shanter	Meat: +50.0
lucky Tam O'Shatner	Meat: +50.0
plastic pumpkin bucket	Item: +12.5
miniature gravy-covered maypole	Item: +25.0
wax lips	Exp: +3.0

Aloysius' Antiphon of Aptitude	Exp: +3.0
Astral Shell	DA: +80, Cold: +10, Hot: +10, Sleaze: +10, Spooky: +10, Stench: +10
Bestial Sympathy	Weight: +3
Blue Tongue	Item: +30.0
Big Veiny Brain	Exp: +2.0, Meat: -20.0
Black Tongue	Weight: +5, Exp: +3.0, Item: +30.0, Meat: +30.0
Carlweather's Cantata of Confrontation	Combat: +5
Cletus's Canticle of Celerity	Init: +30.0
Cold Blooded	Cold: +20
Contemptible Emanations	ML: +20
Cupcake of Choice	Item: +30.0
Dreams and Lights	Mana: -3
Egg-stortionary Tactics	Meat: +50.0
Eggs-tra Sensory Perception	Item: +50.0
Elemental Saucesphere	Cold: +20, Hot: +20, Sleaze: +20, Spooky: +20, Stench: +20
Empathy	Weight: +5
Eau D'enmity	ML: +5
Extreme Muscle Relaxation	Init: -50.0
Eye of the Lihc	Spooky: +10
Fat Leon's Phat Loot Lyric	Item: +20.0
Flame-Retardent Trousers	Hot: +20
Fresh Scent	Combat: -5
Ghostly Shell	DA: +80
Green Tongue	Weight: +5
Heart of Green	Weight: +3
Heart of Lavender	Item: +10.0
Heart of Pink	Meat: +0.0
Heart of White	Exp: +1.0
Heart of Yellow	Init: +20.0
Heavy Petting	Weight: +5
Hippy Stench	Combat: +5
Hombre Muerto Caminando	Spooky: +10
Hot Blooded	Hot: +20
Insulated Trousers	Cold: +20
Leash of Linguini	Weight: +5
Musk of the Moose	Combat: +5.0
Mysteriously Handsome	ML: +3
Object Detection	Item: +12.5
Orange Tongue	Exp: +3.0
Peeled Eyeballs	Exp: -1.0, Item: +15.0, Meat: -16.0
Polka of Plenty	Meat: +50.0
Provocative Perkiness	Init: +20.0
Red Tongue	Meat: +30.0
Sugar Rush	Init: +20.0
Shiny Happy Cupcake	Exp: +3.0
Sleaze-Resistant Trousers	Sleaze: +20
Smelly Pants	Stench: +20
Smooth Movements	Combat: -5
Springy Fusilli	Init: +40.0
Spooky Demeanor	Spooky: +20
Spookypants	Spooky: +20
Stenchtastic	Stench: +20
Sticky Fingers	Meat: +15.0
Supafly	Sleaze: +20
The Cupcake of Wrath	ML: +10
The Sonata of Sneakiness	Combat: -5.0
Ticking Clock	Init: +30.0
Wasabi Sinuses	Exp: -1.0, Item: -10.0, Meat: +30.0
Your Cupcake Senses Are Tingling	Meat: +30.0

Amphibian Sympathy	Weight: +5
Cold-Blooded Fearlessness	Spooky: +20
Diminished Gag Reflex	Stench: +20
Expert Panhandling	Meat: +10.0
Gnefarious Pickpocketing	Meat: +10.0
Heart of Polyester	Sleaze: +20
Hide of the Otter	DA: +20
Hide of the Walrus	DA: +40
Mad Looting Skillz	Item: +20.0
Nimble Fingers	Meat: +20.0
Northern Exposure	Cold: +20
Overdeveloped Sense of Self Preservation	Init: +20.0
Powers of Observatiogn	Item: +10.0
Skin of the Leatherback
Tolerance of the Kitchen	Hot: +20

Arboreal Raiment	Stench: +10
eXtreme Cold-Weather Gear	Cold: +30
Hot and Cold Running Ninja Suit	Cold: +20, Hot: +20
